Event Type     To/From         Vector Clock

Local       -                         0,1,0,0,0,0,0,0,
Receive      P0                       4,2,0,0,0,0,0,0,
Local       -                         4,3,0,0,0,0,0,0,
Send        P7,P6,P5,                 4,4,0,0,0,0,0,0,
Send        P5,P4,P2,P7,              4,5,0,0,0,0,0,0,
Receive      P2                       4,6,6,0,0,0,0,0,
Receive      P7                       4,7,6,3,0,0,0,9,
Local       -                         4,8,6,3,0,0,0,9,
Receive      P3                       4,9,6,4,0,0,0,9,
Receive      P6                       4,10,6,4,0,0,8,9,
Receive      P7                       7,11,6,4,0,0,8,12,
Local       -                         7,12,6,4,0,0,8,12,
Receive      P6                       7,13,6,4,0,0,9,12,
Receive      P5                       7,14,6,4,0,15,9,12,
Receive      P5                       7,15,6,4,10,17,9,12,
Send        P3,P0,P4,P2,              7,16,6,4,10,17,9,12,
Receive      P4                       7,17,6,4,13,17,9,12,
Send        P0,P2,P3,P4,P5,P6,P7,     7,18,6,4,13,17,9,12,
Local       -                         7,19,6,4,13,17,9,12,
Receive      P7                       7,20,16,11,13,17,9,23,
Local       -                         7,21,16,11,13,17,9,23,
Receive      P6                       7,22,16,11,13,17,17,23,
Local       -                         7,23,16,11,13,17,17,23,
Receive      P5                       7,24,16,11,13,25,17,23,
Local       -                         7,25,16,11,13,25,17,23,
Receive      P0                       25,26,16,11,24,25,17,23,
Receive      P2                       25,27,31,11,24,25,17,23,
Send        P2,                       25,28,31,11,24,25,17,23,
Local       -                         25,29,31,11,24,25,17,23,
Receive      P2                       25,30,36,24,24,25,17,31,
Send        P3,P4,P0,P6,              25,31,36,24,24,25,17,31,
Receive      P3                       25,32,36,28,24,25,17,31,
Receive      P0                       32,33,36,28,24,25,17,31,
Local       -                         32,34,36,28,24,25,17,31,
Receive      P0                       33,35,36,28,24,25,17,31,
Receive      P7                       33,36,36,28,24,25,17,34,
Send        P6,                       33,37,36,28,24,25,17,34,
Receive      P6                       33,38,42,32,35,31,34,34,
Local       -                         33,39,42,32,35,31,34,34,
Receive      P0                       36,40,42,32,35,31,34,34,
Receive      P4                       36,41,42,32,40,31,34,34,
Receive      P5                       36,42,42,32,40,34,34,34,
Receive      P2                       36,43,45,32,40,34,34,34,
Send        P5,P4,P6,P7,              36,44,45,32,40,34,34,34,
Receive      P3                       36,45,45,38,40,34,34,34,
Receive      P2                       36,46,46,38,40,34,34,34,
Send        P0,P2,P3,P4,P5,P6,P7,     36,47,46,38,40,34,34,34,
Receive      P3                       36,48,46,41,40,34,34,34,
Receive      P7                       36,49,46,41,40,34,34,43,
Receive      P2                       36,50,49,41,40,34,34,43,
Send        P6,P3,P7,P2,P4,           36,51,49,41,40,34,34,43,
Receive      P6                       36,52,49,41,49,44,52,43,
Receive      P3                       36,53,49,44,49,44,52,43,
Receive      P0                       44,54,49,44,49,44,52,43,
Receive      P7                       44,55,49,44,49,44,52,48,
Receive      P4                       44,56,49,44,57,44,52,48,
Receive      P5                       44,57,49,44,57,50,52,48,
Local       -                         44,58,49,44,57,50,52,48,
Receive      P6                       44,59,49,44,57,50,58,48,
Receive      P7                       44,60,49,44,57,50,58,52,
Receive      P4                       44,61,49,44,61,50,58,52,
Receive      P5                       44,62,49,44,61,53,58,52,
Receive      P2                       44,63,58,44,61,53,58,52,
Send        P3,P6,P5,P0,              44,64,58,44,61,53,58,52,
Receive      P6                       44,65,58,44,61,53,64,52,
Receive      P3                       44,66,58,55,61,53,64,52,
Local       -                         44,67,58,55,61,53,64,52,
Receive      P4                       44,68,58,55,64,53,64,52,
Receive      P5                       44,69,58,55,64,57,64,52,
Local       -                         44,70,58,55,64,57,64,52,
Receive      P0                       54,71,58,55,64,57,64,52,
Receive      P7                       54,72,58,55,64,57,64,59,
Send        P3,P2,P6,                 54,73,58,55,64,57,64,59,
Receive      P6                       54,74,58,55,64,57,71,59,
Receive      P3                       54,75,58,64,64,57,71,59,
Local       -                         54,76,58,64,64,57,71,59,
Receive      P2                       54,77,68,64,64,57,71,59,
Local       -                         54,78,68,64,64,57,71,59,
Receive      P4                       54,79,68,64,67,57,71,59,
Receive      P5                       54,80,68,64,67,63,71,59,
Local       -                         54,81,68,64,67,63,71,59,
Receive      P6                       54,82,68,64,67,63,78,59,
Receive      P7                       54,83,68,64,67,63,78,63,
Local       -                         54,84,68,64,67,63,78,63,
Receive      P5                       54,85,68,64,67,66,78,63,
Local       -                         54,86,68,64,67,66,78,63,
Receive      P0                       62,87,68,64,67,66,78,63,
Send        P5,P0,                    62,88,68,64,67,66,78,63,
Receive      P4                       62,89,68,64,71,66,78,63,
Local       -                         62,90,68,64,71,66,78,63,
Send        P3,P7,                    62,91,68,64,71,66,78,63,
Local       -                         62,92,68,64,71,66,78,63,
Send        P2,P5,P6,P3,P7,           62,93,68,64,71,66,78,63,
Local       -                         62,94,68,64,71,66,78,63,
Receive      P5                       69,95,86,84,71,82,85,75,
Local       -                         69,96,86,84,71,82,85,75,
Receive      P0                       75,97,86,84,71,82,85,75,
Receive      P3                       75,98,86,92,71,82,89,82,
Send        P6,P7,P0,                 75,99,86,92,71,82,89,82,
Receive      P2                       75,100,92,92,71,82,95,82,
Local       -                         75,101,92,92,71,82,95,82,
Receive      P7                       75,102,92,92,83,89,95,92,
Local       -                         75,103,92,92,83,89,95,92,
Receive      P6                       75,104,92,92,83,89,102,92,
Local       -                         75,105,92,92,83,89,102,92,
Receive      P5                       75,106,92,92,86,93,102,92,
Local       -                         75,107,92,92,86,93,102,92,
Local       -                         75,108,92,92,86,93,102,92,
Receive      P4                       75,109,92,92,89,93,102,92,
Local       -                         75,110,92,92,89,93,102,92,
Local       -                         75,111,92,92,89,93,102,92,
Receive      P0                       87,112,92,92,89,93,102,92,
Receive      P3                       87,113,92,105,89,93,102,92,
Send        P5,P2,P4,P3,              87,114,92,105,89,93,102,92,
Receive      P2                       88,115,107,107,89,93,102,92,
Local       -                         88,116,107,107,89,93,102,92,
Send        P5,P3,P7,P2,P4,           88,117,107,107,89,93,102,92,
Receive      P7                       88,118,107,107,89,93,102,107,
Receive      P6                       88,119,107,107,89,93,113,107,
Local       -                         88,120,107,107,89,93,113,107,
Receive      P5                       88,121,112,107,89,113,114,109,
Receive      P4                       88,122,112,107,106,113,114,109,
